date,hosp_incid,icu_incid,deaths_icu_incid,deaths_noicu_incid,hosp_curr,icu_curr,r_incid,r_cumul,o_cumul,d_cumul,hosp_cumul,predd_cumul
2020-03-01,1,0,0,0,1,0,0,0,0,0,1,0.1
2020-03-02,3,1,0,0,4,1,0,0,0,0,4,0.4
2020-03-03,2,0,0,0,6,1,0,0,0,0,6,0.6000000000000001
2020-03-04,3,1,0,0,9,2,0,0,0,0,9,0.9
2020-03-05,4,0,0,0,13,2,0,0,0,0,13,1.3
2020-03-06,4,1,0,0,14,3,3,3,3,0,17,1.7000000000000002
2020-03-07,2,3,0,0,16,6,0,3,3,0,19,1.9000000000000001
2020-03-08,7,0,0,0,23,4,0,3,3,0,26,2.6
2020-03-09,10,3,0,0,33,6,0,3,3,0,36,3.6
2020-03-10,9,2,0,0,42,8,0,3,3,0,45,4.5
2020-03-11,6,1,1,0,45,7,2,5,6,1,51,5.1000000000000005
2020-03-12,6,0,0,0,49,6,2,7,8,1,57,5.7
2020-03-13,12,2,0,0,55,7,6,13,14,1,69,6.9
2020-03-14,15,3,0,0,69,10,1,14,15,1,84,8.4
2020-03-15,22,1,0,0,84,10,7,21,22,1,106,10.600000000000001
2020-03-16,42,11,0,1,120,21,5,26,28,2,148,14.8
2020-03-17,22,6,0,2,134,25,6,32,36,4,170,17
2020-03-18,25,2,0,0,147,24,12,44,48,4,195,19.5
2020-03-19,28,4,0,1,163,23,11,55,60,5,223,22.3
2020-03-20,32,5,2,4,176,23,13,68,79,11,255,25.5
2020-03-21,41,2,2,0,205,23,10,78,91,13,296,29.6
2020-03-22,33,10,1,1,227,30,9,87,102,15,329,32.9
2020-03-23,42,10,0,1,245,38,23,110,126,16,371,37.1
2020-03-24,53,7,0,2,282,40,14,124,142,18,424,42.400000000000006
2020-03-25,61,15,1,3,311,53,28,152,174,22,485,48.5
2020-03-26,55,9,4,6,325,58,31,183,215,32,540,54
2020-03-27,70,8,0,0,359,62,36,219,251,32,610,61
2020-03-28,33,6,1,3,368,64,20,239,275,36,643,64.3
2020-03-29,32,7,3,5,373,67,19,258,302,44,675,67.5
2020-03-30,42,14,1,3,377,73,34,292,340,48,717,71.7
2020-03-31,44,10,2,0,387,76,32,324,374,50,761,76.10000000000001
2020-04-01,48,6,0,2,396,79,37,361,413,52,809,80.9
2020-04-02,36,7,4,5,387,81,36,397,458,61,845,84.5
2020-04-03,37,6,3,4,379,79,38,435,503,68,882,88.2
2020-04-04,21,9,1,1,381,81,17,452,522,70,903,90.30000000000001
2020-04-05,20,6,1,2,392,81,6,458,531,73,923,92.30000000000001
2020-04-06,30,3,0,5,378,79,39,497,575,78,953,95.30000000000001
2020-04-07,24,7,2,5,354,81,41,538,623,85,977,97.7
2020-04-08,31,4,1,3,345,79,36,574,663,89,1008,100.80000000000001
2020-04-09,27,6,1,1,332,79,38,612,703,91,1035,103.5
2020-04-10,15,5,0,4,324,82,19,631,726,95,1050,105
2020-04-11,15,5,1,1,309,85,28,659,756,97,1065,106.5
2020-04-12,16,2,0,2,315,84,8,667,766,99,1081,108.10000000000001
2020-04-13,11,3,2,2,316,79,6,673,776,103,1092,109.2
2020-04-14,1,1,0,1,316,76,0,673,777,104,1093,109.30000000000001
