age,sex,cases,fatalities,region,count,cases_pp,fatalities_pp
0,Female,5,0,Kanton Zürich,7786,0.0006421782686873876,0.0
0,Male,3,0,Kanton Zürich,8023,0.0003739249657235448,0.0
1,Female,3,0,Kanton Zürich,8135,0.0003687768899815612,0.0
1,Male,5,0,Kanton Zürich,8458,0.0005911563017261764,0.0
2,Female,3,0,Kanton Zürich,8074,0.0003715630418627694,0.0
2,Male,1,0,Kanton Zürich,8643,0.00011570056693277797,0.0
3,Female,1,0,Kanton Zürich,8194,0.000122040517451794,0.0
3,Male,3,0,Kanton Zürich,8582,0.0003495688650664181,0.0
4,Female,1,0,Kanton Zürich,7942,0.00012591286829513975,0.0
4,Male,1,0,Kanton Zürich,8617,0.00011604966925844261,0.0
5,Female,2,0,Kanton Zürich,8145,0.00024554941682013506,0.0
5,Male,1,0,Kanton Zürich,8485,0.00011785503830288745,0.0
6,Female,1,0,Kanton Zürich,7710,0.00012970168612191958,0.0
6,Male,4,0,Kanton Zürich,8079,0.0004951107810372571,0.0
7,Male,2,0,Kanton Zürich,8051,0.0002484163457955533,0.0
8,Female,3,0,Kanton Zürich,7551,0.0003972983710766786,0.0
8,Male,3,0,Kanton Zürich,7993,0.0003753284123608157,0.0
9,Female,1,0,Kanton Zürich,7541,0.00013260840737302744,0.0
9,Male,7,0,Kanton Zürich,7947,0.0008808355354221719,0.0
10,Female,5,0,Kanton Zürich,7415,0.0006743088334457181,0.0
10,Male,2,0,Kanton Zürich,7807,0.0002561803509670808,0.0
11,Female,2,0,Kanton Zürich,7186,0.00027831895352073476,0.0
11,Male,7,0,Kanton Zürich,7724,0.0009062661833247022,0.0
12,Female,2,0,Kanton Zürich,6958,0.0002874389192296637,0.0
12,Male,1,0,Kanton Zürich,7602,0.00013154433043935807,0.0
13,Female,3,0,Kanton Zürich,6959,0.00043109642189969824,0.0
13,Male,1,0,Kanton Zürich,7235,0.00013821700069108501,0.0
14,Female,1,0,Kanton Zürich,6731,0.0001485663348685188,0.0
14,Male,1,0,Kanton Zürich,7224,0.00013842746400885935,0.0
15,Female,1,0,Kanton Zürich,6727,0.0001486546751895347,0.0
15,Male,6,0,Kanton Zürich,7130,0.0008415147265077139,0.0
16,Female,6,0,Kanton Zürich,6539,0.0009175714941122495,0.0
16,Male,7,0,Kanton Zürich,6948,0.0010074841681059297,0.0
17,Female,17,0,Kanton Zürich,6588,0.0025804493017607772,0.0
17,Male,7,0,Kanton Zürich,7013,0.0009981462997290746,0.0
18,Female,28,0,Kanton Zürich,6467,0.004329673728158343,0.0
18,Male,18,0,Kanton Zürich,6798,0.00264783759929391,0.0
19,Female,18,0,Kanton Zürich,6918,0.0026019080659150044,0.0
19,Male,22,0,Kanton Zürich,7513,0.0029282576866764276,0.0
20,Female,25,0,Kanton Zürich,6808,0.003672150411280846,0.0
20,Male,39,0,Kanton Zürich,7555,0.005162144275314361,0.0
21,Female,18,0,Kanton Zürich,7112,0.002530933633295838,0.0
21,Male,30,0,Kanton Zürich,7657,0.003917983544469113,0.0
22,Female,26,0,Kanton Zürich,7477,0.0034773304801390932,0.0
22,Male,32,0,Kanton Zürich,8219,0.003893417690716632,0.0
23,Female,21,0,Kanton Zürich,7962,0.0026375282592313487,0.0
23,Male,24,0,Kanton Zürich,8547,0.002808002808002808,0.0
24,Female,18,0,Kanton Zürich,8293,0.0021705052453876764,0.0
24,Male,23,0,Kanton Zürich,8873,0.0025921334385213568,0.0
25,Female,36,0,Kanton Zürich,9259,0.0038881088670482773,0.0
25,Male,31,0,Kanton Zürich,9158,0.003385018563005023,0.0
26,Female,35,0,Kanton Zürich,9955,0.0035158211953792064,0.0
26,Male,18,0,Kanton Zürich,10106,0.0017811201266574313,0.0
27,Female,34,0,Kanton Zürich,10877,0.00312586191045325,0.0
27,Male,28,0,Kanton Zürich,11037,0.0025369212648364593,0.0
28,Female,33,0,Kanton Zürich,11422,0.002889161267728944,0.0
28,Male,25,0,Kanton Zürich,11742,0.0021291091807187873,0.0
29,Female,30,0,Kanton Zürich,12029,0.0024939728988278326,0.0
29,Male,33,0,Kanton Zürich,12278,0.002687734158657762,0.0
30,Female,47,0,Kanton Zürich,12236,0.0038411245505067014,0.0
30,Male,28,0,Kanton Zürich,12510,0.0022382094324540367,0.0
31,Female,40,0,Kanton Zürich,12580,0.003179650238473768,0.0
31,Male,36,0,Kanton Zürich,12829,0.0028061423337750408,0.0
32,Female,35,0,Kanton Zürich,12572,0.0027839643652561247,0.0
32,Male,21,0,Kanton Zürich,12838,0.0016357688113413304,0.0
33,Female,30,0,Kanton Zürich,12596,0.002381708478882185,0.0
33,Male,27,0,Kanton Zürich,12904,0.002092374457532548,0.0
34,Female,38,0,Kanton Zürich,12667,0.0029999210547090867,0.0
34,Male,30,0,Kanton Zürich,12957,0.0023153507756425097,0.0
35,Female,24,0,Kanton Zürich,12784,0.0018773466833541927,0.0
35,Male,24,0,Kanton Zürich,12817,0.0018725130685807911,0.0
36,Female,27,0,Kanton Zürich,12370,0.002182700080840744,0.0
36,Male,28,0,Kanton Zürich,12681,0.002208027758063244,0.0
37,Female,35,0,Kanton Zürich,12584,0.0027813095994914175,0.0
37,Male,31,0,Kanton Zürich,12846,0.002413202553323992,0.0
38,Female,31,0,Kanton Zürich,12364,0.0025072791976706566,0.0
38,Male,37,0,Kanton Zürich,12767,0.002898096655439806,0.0
39,Female,24,0,Kanton Zürich,12431,0.001930657227897997,0.0
39,Male,25,0,Kanton Zürich,12849,0.0019456767063584714,0.0
40,Female,33,0,Kanton Zürich,11915,0.002769618128409568,0.0
40,Male,23,0,Kanton Zürich,12273,0.0018740324289089872,0.0
41,Female,24,0,Kanton Zürich,11813,0.002031660035554051,0.0
41,Male,32,0,Kanton Zürich,12089,0.0026470344941682523,0.0
