Date,Affoltern,Andelfingen,Bülach,Dielsdorf,Dietikon,Hinwil,Horgen,Meilen,Pfäffikon,Uster,Winterthur,Total
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,7
2020-03-06,1,0,4,0,2,2,2,3,1,1,3,20
2020-03-13,7,1,20,13,22,9,19,15,7,12,25,90
2020-03-20,30,22,64,44,59,41,88,80,18,67,87,307
2020-03-27,64,37,115,80,92,84,143,135,41,111,147,542
2020-04-03,83,60,176,119,127,115,202,170,69,168,233,748
2020-04-10,93,66,208,158,148,153,226,202,95,207,290,925
2020-04-17,95,71,231,167,174,167,235,209,109,220,340,987
2020-04-24,98,75,242,171,201,174,242,212,112,230,361,1048
2020-05-01,100,77,247,175,209,179,246,218,114,233,373,1087
2020-05-08,101,77,251,179,215,182,250,220,114,235,381,1113
2020-05-15,102,77,251,181,217,182,253,221,115,236,387,1123
2020-05-22,102,77,254,182,218,184,256,221,115,237,388,1128
2020-05-29,102,77,259,186,220,184,256,222,116,237,392,1139
2020-06-05,102,77,263,186,222,186,256,223,116,239,394,1149
2020-06-12,102,77,265,187,223,186,256,223,117,240,397,1155
2020-06-19,103,78,277,189,228,186,256,225,118,244,402,1164
2020-06-26,104,78,291,193,237,189,261,226,120,250,405,1188
2020-07-03,107,79,307,203,260,205,277,240,126,280,417,1224
