Date,Affoltern,Andelfingen,Bülach,Dielsdorf,Dietikon,Hinwil,Horgen,Meilen,Pfäffikon,Uster,Winterthur,Total
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-20,1,0,0,0,0,0,0,0,0,1,0,4
2020-03-27,1,1,1,0,0,0,4,2,0,3,0,10
2020-04-03,3,2,3,1,1,0,5,4,3,4,1,24
2020-04-10,4,3,5,1,4,0,6,5,3,5,4,37
2020-04-17,4,4,5,4,5,0,7,5,6,5,6,52
2020-04-24,4,4,5,4,5,0,8,5,7,5,7,59
2020-05-01,4,4,6,4,5,0,8,5,7,6,7,65
2020-05-08,4,4,6,4,6,0,8,5,7,6,7,67
2020-05-15,4,4,6,4,6,0,8,5,7,6,7,68
2020-05-22,4,4,6,4,7,0,8,5,7,7,8,68
2020-05-29,4,4,6,4,7,0,8,5,7,7,8,68
2020-06-05,4,4,6,4,7,0,8,5,7,7,8,68
2020-06-12,4,4,6,4,7,0,8,5,7,7,8,68
2020-06-19,4,4,6,4,7,0,8,5,7,7,8,68
2020-06-26,4,4,6,4,7,0,8,5,7,7,8,68
2020-07-03,4,4,6,4,7,0,8,5,7,7,8,69
