Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-05-31,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,0.0,-2.0,0.0,,-2.0
2020-06-02,0.0,,0.0,-1.0,0.0,0.0,0.0,1.0,,0.0,-1.0,,0.0,0.0,,,-1.0,,,0.0,0.0,,-1.0,-2.0,0.0,,-5.0
2020-06-03,,,0.0,-1.0,0.0,0.0,0.0,1.0,,0.0,-1.0,0.0,0.0,0.0,,1.0,-1.0,,,0.0,0.0,,-1.0,-2.0,0.0,,-4.0
2020-06-04,1.0,,0.0,-1.0,0.0,0.0,0.0,1.0,,0.0,-1.0,,0.0,0.0,,,-1.0,,,0.0,0.0,,-1.0,-2.0,0.0,,-3.0
2020-06-05,,,0.0,-1.0,0.0,0.0,-1.0,1.0,,0.0,-1.0,,1.0,0.0,,,-1.0,,,0.0,0.0,,-2.0,-2.0,0.0,,-4.0
2020-06-06,,,,-1.0,0.0,0.0,-1.0,,,0.0,-1.0,,0.0,0.0,,,,,,0.0,0.0,,-2.0,-2.0,0.0,,-5.0
2020-06-07,,,,-1.0,0.0,0.0,-1.0,,,0.0,-1.0,,0.0,0.0,,,,,,0.0,1.0,,-2.0,-2.0,0.0,,-4.0
2020-06-08,0.0,,0.0,-1.0,0.0,0.0,-1.0,1.0,,-1.0,-1.0,-2.0,0.0,0.0,,1.0,-1.0,,,0.0,1.0,,-3.0,-2.0,0.0,,-9.0
2020-06-09,,,,-1.0,0.0,0.0,-2.0,1.0,,-1.0,-1.0,,0.0,0.0,,,-1.0,,,0.0,0.0,,-3.0,-2.0,0.0,,-11.0
2020-06-10,,,,-1.0,0.0,0.0,-2.0,1.0,,-1.0,-1.0,-3.0,0.0,0.0,,,-1.0,,,0.0,-1.0,,-4.0,-2.0,0.0,,-14.0
2020-06-11,0.0,,,-1.0,0.0,-1.0,-2.0,2.0,,-1.0,-1.0,,1.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-2.0,0.0,,-17.0
2020-06-12,,,0.0,-1.0,0.0,-1.0,-2.0,2.0,,-1.0,-1.0,,0.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-2.0,0.0,,-18.0
2020-06-13,,,,-1.0,0.0,-1.0,-2.0,,,-1.0,-1.0,,0.0,0.0,,,,,,0.0,-1.0,,-7.0,-3.0,0.0,,-19.0
2020-06-14,,,,-1.0,0.0,-1.0,-2.0,,,-1.0,-1.0,-3.0,0.0,0.0,,,,,,0.0,-1.0,,-7.0,-3.0,0.0,,-19.0
2020-06-15,,,0.0,-1.0,0.0,-1.0,-2.0,1.0,,-1.0,-1.0,,0.0,0.0,,1.0,-2.0,,,0.0,-1.0,,-7.0,-3.0,0.0,,-20.0
2020-06-16,,,,-1.0,0.0,-1.0,-2.0,1.0,,-1.0,-1.0,,0.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-3.0,0.0,,-20.0
2020-06-17,,,,-1.0,0.0,-1.0,-2.0,1.0,,-1.0,-1.0,-3.0,0.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-4.0,0.0,,-21.0
2020-06-18,,,,-1.0,0.0,-1.0,-3.0,2.0,,-1.0,-1.0,-3.0,0.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-4.0,0.0,,-21.0
2020-06-19,,,0.0,-1.0,0.0,-1.0,-3.0,3.0,,-1.0,-1.0,-3.0,1.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-4.0,0.0,,-19.0
2020-06-20,,,,-1.0,0.0,-1.0,,,,-1.0,-1.0,,0.0,0.0,,,,,,0.0,-1.0,,-7.0,-4.0,0.0,,-20.0
2020-06-21,,,,-1.0,0.0,-2.0,-3.0,,,-1.0,-1.0,,0.0,0.0,,,,,,0.0,-1.0,,-7.0,-4.0,0.0,,-21.0
2020-06-22,,,0.0,-1.0,0.0,-2.0,-3.0,3.0,,-1.0,-1.0,-3.0,0.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-4.0,0.0,,-21.0
2020-06-23,,,,-1.0,0.0,-2.0,-3.0,4.0,,-1.0,-1.0,,0.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-4.0,0.0,,-20.0
2020-06-24,,,,-1.0,0.0,-2.0,-3.0,5.0,,-1.0,-1.0,-4.0,0.0,0.0,,2.0,-2.0,,,0.0,-1.0,,-8.0,-4.0,0.0,,-20.0
2020-06-25,,,0.0,-1.0,0.0,-2.0,-3.0,5.0,,-1.0,-1.0,-4.0,0.0,0.0,,,-2.0,,,0.0,-1.0,,-8.0,-4.0,0.0,,-20.0
2020-06-26,,,0.0,-1.0,0.0,-2.0,-3.0,4.0,,-1.0,-1.0,,0.0,0.0,,,-2.0,,,0.0,-1.0,,-8.0,-4.0,0.0,,-21.0
2020-06-27,,,,-1.0,0.0,-2.0,,,,-1.0,-1.0,,0.0,0.0,,,,,,0.0,-1.0,,-8.0,-4.0,0.0,,-21.0
2020-06-28,,,,-1.0,0.0,-2.0,,,,-1.0,-1.0,,0.0,0.0,,,,,,0.0,-1.0,,-8.0,-4.0,0.0,,-21.0
2020-06-29,,,0.0,-1.0,0.0,-2.0,-3.0,3.0,,-1.0,-1.0,-4.0,0.0,0.0,,,-2.0,,,0.0,-1.0,,-7.0,-3.0,0.0,,-20.0
2020-06-30,,,,-1.0,0.0,-3.0,-3.0,3.0,,-1.0,-1.0,,0.0,0.0,,,-2.0,,,0.0,-1.0,,-6.0,-3.0,0.0,,-20.0
