Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-26,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,0.0
2020-02-27,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,0.0
2020-02-28,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-02-29,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-03-01,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-03-02,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-03-03,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-03-04,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-03-05,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-03-06,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,2.0
2020-03-07,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,2.0
2020-03-08,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,1.0,,,3.0
2020-03-09,,,,,4.0,,,1.0,,0.0,,,,,,,,,,,0.0,,,1.0,,,6.0
2020-03-10,,,,,1.0,,,1.0,,0.0,,,,,,,,,,,0.0,,,1.0,,,3.0
2020-03-11,,,,,1.0,,,4.0,,0.0,,,,,,,,,,,0.0,,,1.0,,,6.0
2020-03-12,,,,,3.0,,,4.0,,0.0,,,,,,,,,,,0.0,,,1.0,,,8.0
2020-03-13,,,,,3.0,,,5.0,,0.0,,,,,,,,,,,0.0,,,1.0,,,9.0
2020-03-14,,,,,2.0,,,5.0,,0.0,,,,,,,,,,,0.0,,,1.0,,,8.0
2020-03-15,,,,,2.0,,,8.0,,0.0,,,,,,,,,,,0.0,,,1.0,,,11.0
2020-03-16,,,,,4.0,,,9.0,,1.0,,,,,,,,,,,0.0,,,1.0,,,15.0
2020-03-17,,,,,5.0,,,17.0,,1.0,,,,,,,,,,,0.0,,,2.0,,,25.0
2020-03-18,,,,,2.0,,,17.0,,2.0,,,,,,,,,,,28.0,,,2.0,,,51.0
2020-03-19,3.0,,,,2.0,,,18.0,,2.0,,,,,,,,,,,32.0,,,5.0,,12.0,74.0
2020-03-20,2.0,,,,2.0,,,21.0,,3.0,,,,,,,,,,,34.0,,,5.0,,15.0,82.0
2020-03-21,,,,,4.0,,,24.0,,3.0,,,,,,,,,,,37.0,,,6.0,,23.0,99.0
2020-03-22,,,,,7.0,,,36.0,,3.0,,,,,,,,,,,43.0,,,7.0,,22.0,120.0
2020-03-23,2.0,,,,10.0,,,41.0,,3.0,,,6.0,,,,,,,,43.0,,,9.0,,27.0,141.0
2020-03-24,2.0,,,,11.0,,,41.0,,3.0,,,6.0,,,,,,,,48.0,,,12.0,,26.0,149.0
2020-03-25,5.0,,,,8.0,,,48.0,,6.0,,,7.0,,,,,,,,55.0,,,14.0,,28.0,171.0
2020-03-26,9.0,,,,9.0,,,48.0,,7.0,,,7.0,,,,,,,,56.0,,,17.0,,35.0,188.0
2020-03-27,10.0,,,,11.0,,,54.0,,7.0,,,7.0,,,,,,,,51.0,,,16.0,,38.0,194.0
2020-03-28,,,,,13.0,,,54.0,,8.0,,,8.0,,,,,,,,60.0,,,19.0,,42.0,214.0
2020-03-29,,,,,14.0,,,55.0,,8.0,,,6.0,,,,,,,,59.0,,,21.0,,46.0,219.0
2020-03-30,23.0,,,17.0,16.0,,,54.0,,9.0,,,6.0,,,,,,,,61.0,,,23.0,,46.0,255.0
2020-03-31,25.0,,,18.0,16.0,,,49.0,,10.0,,,8.0,,,,,,,,67.0,,,23.0,,50.0,266.0
2020-04-01,27.0,,,21.0,17.0,,,58.0,,11.0,,,8.0,,,,,,,,72.0,,,25.0,,54.0,293.0
2020-04-02,27.0,,,20.0,18.0,,,54.0,,11.0,,,10.0,,,,,,,,73.0,,,24.0,,53.0,290.0
2020-04-03,26.0,,,26.0,18.0,,,58.0,,10.0,,,9.0,,,,,,,,67.0,,,23.0,,57.0,294.0
2020-04-04,,,,28.0,17.0,,,51.0,,10.0,,,9.0,,,,,,,,67.0,,,23.0,,59.0,290.0
2020-04-05,,,,25.0,17.0,,,50.0,,9.0,,,8.0,,,,,,,,61.0,,,23.0,,59.0,278.0
2020-04-06,24.0,,,30.0,17.0,,,50.0,,9.0,,,8.0,,,,,,,,62.0,,,22.0,,58.0,280.0
2020-04-07,25.0,,,26.0,17.0,,,48.0,,8.0,,,5.0,,,,,,,,65.0,,,20.0,,60.0,274.0
2020-04-08,23.0,,,27.0,17.0,,,47.0,,7.0,,,7.0,,,,,,,,64.0,,,20.0,,56.0,268.0
2020-04-09,21.0,,,27.0,16.0,,,45.0,,7.0,,,7.0,,,,,,,,68.0,,,19.0,,55.0,265.0
2020-04-10,,,,25.0,15.0,,,47.0,,6.0,,,8.0,,,,,,,,62.0,,,18.0,,50.0,252.0
2020-04-11,21.0,,,24.0,15.0,,,44.0,,5.0,,,9.0,,,,,,,,59.0,,,15.0,,50.0,242.0
2020-04-12,,,,22.0,14.0,,,43.0,,5.0,,,10.0,,,,,,,,56.0,,,14.0,,49.0,234.0
2020-04-13,,,,21.0,12.0,,,42.0,,5.0,,,10.0,,,,,,,,55.0,,,12.0,,50.0,228.0
2020-04-14,22.0,,,21.0,8.0,,,41.0,,5.0,,,10.0,,,,,,,,54.0,,,11.0,,52.0,224.0
2020-04-15,20.0,,,18.0,7.0,,,37.0,,6.0,,,10.0,,,,,,,,50.0,,,12.0,,50.0,210.0
2020-04-16,20.0,,,12.0,6.0,,,33.0,,7.0,,,9.0,,,,,,,,49.0,,,12.0,,51.0,199.0
2020-04-17,20.0,,,13.0,5.0,,,33.0,,6.0,,,8.0,,,,,,,,44.0,,,10.0,,45.0,184.0
2020-04-18,,,,12.0,5.0,,,33.0,,6.0,,,8.0,,,,,,,,42.0,,,10.0,,44.0,180.0
2020-04-19,,,,13.0,5.0,,,33.0,,7.0,,,4.0,,,,,,,,42.0,,,9.0,,43.0,176.0
2020-04-20,16.0,,,11.0,3.0,,,29.0,,7.0,,,5.0,,,,,,,,42.0,,,9.0,,43.0,165.0
2020-04-21,18.0,,,11.0,3.0,,,29.0,,6.0,,,4.0,,,,,,,,36.0,,,10.0,,41.0,158.0
2020-04-22,15.0,,,10.0,3.0,,,27.0,,7.0,,,4.0,,,,,,,,32.0,,,10.0,,44.0,152.0
2020-04-23,14.0,,,7.0,2.0,,,27.0,,7.0,,,4.0,,,,,,,,32.0,,,9.0,,44.0,146.0
2020-04-24,14.0,,,8.0,1.0,,,25.0,,8.0,,,4.0,,,,,,,,33.0,,,9.0,,42.0,144.0
2020-04-25,,,,10.0,0.0,,,26.0,,8.0,,,3.0,,,,,,,,30.0,,,9.0,,38.0,138.0
2020-04-26,,,,9.0,0.0,,,24.0,,8.0,,,3.0,,,,,,,,26.0,,,8.0,,26.0,118.0
2020-04-27,14.0,,,9.0,0.0,,,24.0,,8.0,,,3.0,,,,,,,,25.0,,,9.0,,24.0,116.0
2020-04-28,11.0,,,7.0,0.0,,,21.0,,7.0,,,3.0,,,,,,,,22.0,,,8.0,,19.0,98.0
2020-04-29,9.0,,,10.0,1.0,,,19.0,,6.0,,,4.0,,,,,,,,21.0,,,8.0,,19.0,97.0
2020-04-30,8.0,,,9.0,1.0,,,18.0,,6.0,,,4.0,,,,,,,,23.0,,,8.0,,15.0,92.0
2020-05-01,8.0,,,7.0,1.0,,,17.0,,6.0,,,2.0,,,,,,,,20.0,,,8.0,,14.0,83.0
2020-05-02,,,,6.0,2.0,,,17.0,,6.0,,,2.0,,,,,,,,16.0,,,8.0,,13.0,78.0
2020-05-03,,,,7.0,1.0,,,16.0,,6.0,,,2.0,,,,,,,,16.0,,,8.0,,12.0,76.0
2020-05-04,4.0,,,7.0,1.0,,,16.0,,5.0,,,3.0,,,,,,,,15.0,,,7.0,,11.0,69.0
2020-05-05,4.0,,,5.0,1.0,,,16.0,,5.0,,,2.0,,,,,,,,14.0,,,6.0,,9.0,62.0
2020-05-06,5.0,,,4.0,1.0,,,15.0,,5.0,,,2.0,,,,,,,,11.0,,,5.0,,7.0,55.0
2020-05-07,4.0,,,6.0,1.0,,,13.0,,5.0,,,2.0,,,,,,,,12.0,,,5.0,,7.0,55.0
2020-05-08,3.0,,,6.0,1.0,,,9.0,,5.0,,,2.0,,,,,,,,11.0,,,5.0,,5.0,47.0
2020-05-09,,,,6.0,1.0,,,7.0,,5.0,,,1.0,,,,,,,,10.0,,,7.0,,5.0,45.0
2020-05-10,,,,6.0,1.0,,,7.0,,5.0,,,1.0,,,,,,,,9.0,,,7.0,,5.0,44.0
2020-05-11,2.0,,,6.0,1.0,,,6.0,,5.0,,,1.0,,,,,,,,8.0,,,7.0,,5.0,41.0
2020-05-12,2.0,,,5.0,1.0,,,5.0,,5.0,,,1.0,,,,,,,,7.0,,,7.0,,7.0,40.0
2020-05-13,1.0,,,6.0,0.0,,,6.0,,5.0,,,1.0,,,,,,,,7.0,,,5.0,,8.0,39.0
2020-05-14,1.0,,,5.0,0.0,,,6.0,,5.0,,,1.0,,,,,,,,7.0,,,5.0,,7.0,37.0
2020-05-15,1.0,,,4.0,0.0,,,6.0,,4.0,,,1.0,,,,,,,,5.0,,,4.0,,7.0,32.0
2020-05-16,,,,4.0,0.0,,,5.0,,4.0,,,1.0,,,,,,,,5.0,,,4.0,,8.0,32.0
2020-05-17,,,,4.0,0.0,,,4.0,,3.0,,,1.0,,,,,,,,4.0,,,4.0,,8.0,29.0
2020-05-18,1.0,,,2.0,0.0,,,4.0,,2.0,,,1.0,,,,,,,,3.0,,,3.0,,8.0,24.0
2020-05-19,2.0,,,2.0,0.0,,,1.0,,2.0,,,1.0,,,,,,,,4.0,,,3.0,,6.0,21.0
2020-05-20,2.0,,,3.0,0.0,,,0.0,,2.0,,,1.0,,,,,,,,4.0,,,3.0,,4.0,19.0
2020-05-21,,,,3.0,0.0,,,0.0,,2.0,,,1.0,,,,,,,,5.0,,,3.0,,3.0,19.0
2020-05-22,,,,3.0,0.0,,,0.0,,2.0,,,1.0,,,,,,,,3.0,,,2.0,,4.0,17.0
2020-05-23,,,,3.0,0.0,,,0.0,,2.0,,,1.0,,,,,,,,5.0,,,2.0,,1.0,16.0
2020-05-24,,,,3.0,0.0,,,0.0,,2.0,,,1.0,,,,,,,,4.0,,,2.0,,1.0,15.0
2020-05-25,1.0,,,2.0,0.0,,,0.0,,2.0,,,1.0,,,,,,,,4.0,,,2.0,,1.0,13.0
2020-05-26,,,,2.0,0.0,,,0.0,,2.0,,,1.0,,,,,,,,3.0,,,2.0,,1.0,12.0
2020-05-27,,,,1.0,0.0,,,0.0,,2.0,,,0.0,,,,,,,,2.0,,,2.0,,1.0,9.0
2020-05-28,1.0,,,1.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,7.0
2020-05-29,,,,1.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,0.0,6.0
2020-05-30,,,,1.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,0.0,6.0
2020-05-31,,,,1.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,7.0
2020-06-01,,,,1.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,7.0
2020-06-02,1.0,,,0.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,0.0,5.0
2020-06-03,,,,0.0,0.0,,,1.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,7.0
2020-06-04,2.0,,,0.0,0.0,,,1.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,8.0
2020-06-05,,,,0.0,0.0,,,1.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,8.0
2020-06-06,,,,0.0,0.0,,,,,1.0,,,0.0,,,,,,,,0.0,,,2.0,,1.0,7.0
2020-06-07,,,,0.0,0.0,,,,,1.0,,,0.0,,,,,,,,0.0,,,2.0,,1.0,7.0
2020-06-08,1.0,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,2.0,,0.0,4.0
2020-06-09,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,2.0,,0.0,4.0
2020-06-10,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,2.0,,0.0,4.0
2020-06-11,1.0,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,1.0,,0.0,3.0
2020-06-12,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-13,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-14,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-15,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-16,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-17,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-18,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-19,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-20,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-21,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-22,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-23,,,,0.0,0.0,,,2.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,3.0
2020-06-24,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-25,,,,0.0,0.0,,,2.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,1.0,4.0
2020-06-26,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,1.0,3.0
2020-06-27,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-28,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-29,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,1.0,3.0
2020-06-30,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-07-01,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-07-02,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-07-03,,,,1.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,3.0
2020-07-04,,,,1.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,3.0
2020-07-05,,,,1.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,1.0,4.0
2020-07-06,,,,1.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,2.0,5.0
2020-07-07,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,5.0
