Name,ShortName,CantonNumber,FIPS,NUTS,pop2018,geoid
Aargau,AG,19,SZ01,CH033,678207,19
Appenzell Innerrhoden,AI,15,SZ10,CH054,16145,15
Appenzell Ausserrhoden,AR,16,SZ02,CH053,55234,16
Berne,BE,2,SZ05,CH021,1034977,2
Basel-Landschaft,BL,13,SZ03,CH032,289527,13
Basel-Stadt,BS,12,SZ04,CH031,200298,12
Fribourg,FR,10,SZ06,CH022,318714,10
Geneva,GE,25,SZ07,CH013,499480,25
Glarus,GL,8,SZ08,CH051,40403,8
Grisons,GR,18,SZ09,CH056,198379,18
Jura,JU,26,SZ26,CH025,73419,26
Lucerne,LU,3,SZ11,CH061,409557,3
Neuchatel,NE,24,SZ12,CH024,176850,24
Nidwalden,NW,7,SZ13,CH065,43223,7
Obwalden,OW,6,SZ14,CH064,37841,6
St. Gallen,SG,17,SZ15,CH055,507697,17
Schaffhausen,SH,14,SZ16,CH052,81991,14
Solothurn,SO,11,SZ18,CH023,273194,11
Schwyz,SZ,5,SZ17,CH063,159165,5
Thurgau,TG,20,SZ19,CH057,276472,20
Ticino,TI,21,SZ20,CH070,353343,21
Uri,UR,4,SZ21,CH062,36433,4
Vaud,VD,22,SZ23,CH011,800162,22
Valais,VS,23,SZ22,CH012,343955,23
Zug,ZG,9,SZ24,CH066,126837,9
Zurich,ZH,1,SZ25,CH040,1520968,1
