Catégorie : Toutes catégories

Jour,COVID-19: (Suisse),covid: (Suisse),covid19: (Suisse)
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,1,0,0
2020-02-13,1,1,0
2020-02-14,1,1,1
2020-02-15,1,1,1
2020-02-16,0,2,0
2020-02-17,< 1,2,0
2020-02-18,< 1,1,0
2020-02-19,< 1,2,0
2020-02-20,0,2,0
2020-02-21,1,1,1
2020-02-22,1,1,1
2020-02-23,6,7,2
2020-02-24,2,11,2
2020-02-25,4,7,2
2020-02-26,4,9,3
2020-02-27,4,13,1
2020-02-28,3,20,3
2020-02-29,1,12,3
2020-03-01,3,16,2
2020-03-02,3,11,4
2020-03-03,6,13,3
2020-03-04,7,14,3
2020-03-05,7,17,2
2020-03-06,5,17,2
2020-03-07,6,20,5
2020-03-08,6,26,5
2020-03-09,6,35,4
2020-03-10,13,37,5
2020-03-11,10,44,5
2020-03-12,16,60,11
2020-03-13,18,56,10
2020-03-14,17,81,9
2020-03-15,14,81,9
2020-03-16,19,93,11
2020-03-17,16,81,14
2020-03-18,18,97,14
2020-03-19,13,88,9
2020-03-20,18,90,14
2020-03-21,15,92,22
2020-03-22,14,100,12
2020-03-23,15,96,11
2020-03-24,13,84,9
2020-03-25,20,83,12
2020-03-26,19,99,12
2020-03-27,20,96,8
2020-03-28,17,100,13
2020-03-29,13,89,13
2020-03-30,21,94,9
2020-03-31,16,90,9
2020-04-01,20,80,8
2020-04-02,11,87,6
2020-04-03,20,77,7
2020-04-04,13,86,5
2020-04-05,13,85,8
2020-04-06,14,79,8
2020-04-07,17,90,7
2020-04-08,14,78,6
2020-04-09,19,77,3
2020-04-10,13,73,11
2020-04-11,11,71,8
2020-04-12,13,59,8
2020-04-13,14,74,4
2020-04-14,14,77,4
2020-04-15,11,75,6
2020-04-16,21,89,6
2020-04-17,12,78,9
2020-04-18,11,70,6
2020-04-19,10,66,4
2020-04-20,10,68,4
2020-04-21,10,72,6
