ori,dest,amount
AG,AG,756121.0709999999
AG,BE,14301.46099999998
AG,BL,22311.429999999997
AG,BS,7563.692999999999
AG,FR,325.8290000000001
AG,GL,116.01700000000001
AG,LU,41177.849
AG,NW,452.45500000000004
AG,OW,361.71500000000003
AG,SG,700.3210000000003
AG,SH,665.8190000000001
AG,SO,40072.502
AG,SZ,2024.9280000000003
AG,TG,538.5060000000002
AG,UR,112.82300000000001
AG,ZG,8901.939999999999
AG,ZH,88061.32200000003
AI,AI,8225.447
AI,AR,4557.396
AI,LIE,168.69
AI,SG,5438.572
AI,TG,340.871
AI,ZH,133.189
AR,AI,4557.396
AR,AR,36116.063
AR,LIE,152.373
AR,SG,38723.929
AR,TG,2943.801
AR,ZH,540.2060000000001
BE,AG,14301.460999999996
BE,BE,1230200.772999999
BE,BL,2380.1040000000007
BE,BS,487.7490000000002
BE,FR,36394.643000000004
BE,GR,188.445
BE,JU,9118.554
BE,LU,13831.865999999985
BE,NE,14589.883000000002
BE,NW,270.935
BE,OW,1268.6970000000001
BE,SO,62110.271000000015
BE,TI,248.32999999999998
BE,UR,483.497
BE,VD,4073.1309999999935
BE,VS,2354.092
BE,ZG,185.21000000000006
BE,ZH,1350.440000000001
BL,AG,22311.429999999997
BL,BE,2380.1040000000003
BL,BL,244182.511
BL,BS,60367.982
BL,JU,785.3660000000001
BL,LU,837.9180000000001
BL,SO,29122.631999999998
BL,ZH,583.5320000000004
BS,AG,7563.692999999998
BS,BE,487.74900000000014
BS,BL,60367.982
BS,BS,73383.695
BS,JU,263.124
BS,LU,191.96500000000003
BS,SO,4210.714999999999
BS,ZH,254.0560000000001
FR,AG,325.8290000000001
FR,BE,36394.643
FR,FR,355309.821
FR,GE,278.2700000000001
FR,JU,106.034
FR,LU,105.23400000000002
FR,NE,3434.0689999999995
FR,SO,518.878
FR,VD,48052.26300000001
FR,VS,2550.9620000000004
GE,FR,278.2700000000001
GE,GE,451199.502
GE,VD,23940.446999999996
GE,VS,721.3340000000002
GL,AG,116.01700000000001
GL,GL,18550.395
GL,GR,517.666
GL,LIE,182.538
GL,SG,5167.749999999999
GL,SZ,2570.137
GL,UR,378.052
GL,ZG,109.285
GL,ZH,1481.6740000000002
GR,BE,188.445
GR,GL,517.666
GR,GR,150767.423
GR,LIE,1791.799
GR,SG,12483.295999999998
GR,SZ,560.578
GR,TI,5183.064999999999
GR,UR,428.248
GR,ZH,538.5440000000002
JU,BE,9118.554
JU,BL,785.3660000000001
JU,BS,263.124
JU,FR,106.03400000000002
JU,JU,70951.793
JU,NE,2660.9089999999997
JU,SO,734.9860000000001
JU,VD,163.51700000000002
LIE,AI,168.69
LIE,AR,152.373
LIE,GL,182.538
LIE,GR,1791.799
LIE,LIE,20332.367
LIE,SG,18928.395
LIE,SZ,161.573
LIE,ZH,168.347
LU,AG,41177.849
LU,BE,13831.865999999985
LU,BL,837.9180000000001
LU,BS,191.96500000000003
LU,FR,105.23400000000002
LU,LU,487293.62799999997
LU,NW,11048.231
LU,OW,6778.182
LU,SG,207.87400000000005
LU,SO,4145.02
LU,SZ,10722.787
LU,UR,1021.349
LU,ZG,19798.022
LU,ZH,8771.653999999988
NE,BE,14589.882999999998
NE,FR,3434.0689999999995
NE,JU,2660.9089999999997
NE,NE,160259.179
NE,SO,233.31600000000003
NE,VD,8644.361999999996
NW,AG,452.45500000000004
NW,BE,270.935
NW,LU,11048.231
NW,NW,29731.809
NW,OW,5343.817
NW,SZ,316.993
NW,UR,2129.776
NW,ZG,737.863
NW,ZH,354.10400000000004
OW,AG,361.71500000000003
OW,BE,1268.6970000000001
OW,LU,6778.182
OW,NW,5343.817
OW,OW,26573.924
OW,SZ,141.554
OW,UR,516.094
OW,ZG,524.686
OW,ZH,307.21400000000006
SG,AG,700.3210000000003
SG,AI,5438.572
SG,AR,38723.929
SG,GL,5167.75
SG,GR,12483.296000000002
SG,LIE,18928.395
SG,LU,207.87400000000005
SG,SG,600733.078
SG,SH,268.348
SG,SZ,14958.483
