place,date,amount
AG,2020-02-23,5
AI,2020-03-09,10
AR,2020-02-29,5
BE,2020-02-23,1.852675567842159
BL,2020-02-23,5
BS,2020-02-22,5
FR,2020-02-25,23.195564546871573
GE,2020-02-20,9.975065769948218
GL,2020-02-25,5
GR,2020-03-13,411.1254939740871
JU,2020-02-27,6.1622135683832315
LU,2020-02-28,5
NE,2020-02-25,25.709758919358475
NW,2020-03-06,20
OW,2020-03-08,5
SG,2020-02-26,5
SH,2020-03-15,70
SO,2020-03-01,5
SZ,2020-02-27,5
TG,2020-03-11,85
TI,2020-02-20,11.31189427732176
UR,2020-03-07,10
VD,2020-02-23,8.789939423603933
VS,2020-02-23,2.831027695905926
ZG,2020-02-27,5
ZH,2020-02-22,3.497035096730869
